ID,classification,correct
1005,REAL,REAL
1009,REAL,REAL
101,REAL,REAL
1016,REAL,REAL
1019,REAL,REAL
1022,REAL,REAL
1036,REAL,REAL
104,REAL,REAL
1047,REAL,REAL
1048,REAL,REAL
1056,REAL,REAL
1058,REAL,REAL
106,REAL,REAL
1063,REAL,REAL
1068,REAL,REAL
1070,REAL,REAL
1073,REAL,REAL
1078,REAL,REAL
1087,REAL,REAL
11,REAL,REAL
1101,REAL,REAL
1141,REAL,REAL
1145,REAL,REAL
1155,REAL,REAL
1156,REAL,REAL
1161,REAL,REAL
1164,REAL,REAL
1169,REAL,REAL
117,REAL,REAL
118,REAL,REAL
1187,REAL,REAL
1193,REAL,REAL
1209,REAL,REAL
1216,REAL,REAL
1219,REAL,REAL
1233,REAL,REAL
1237,REAL,REAL
1241,REAL,REAL
1246,REAL,REAL
1253,REAL,REAL
1261,REAL,REAL
1264,REAL,REAL
1267,REAL,REAL
127,REAL,REAL
1302,REAL,REAL
1314,REAL,REAL
1322,REAL,REAL
1347,REAL,REAL
1367,REAL,REAL
1376,REAL,REAL
1386,REAL,REAL
1395,REAL,REAL
140,REAL,REAL
1429,REAL,REAL
143,REAL,REAL
1431,REAL,REAL
1441,REAL,REAL
1455,REAL,REAL
1464,REAL,REAL
1475,REAL,REAL
1478,REAL,REAL
1494,REAL,REAL
1495,REAL,REAL
1500,REAL,REAL
1502,REAL,REAL
152,REAL,REAL
1526,REAL,REAL
1527,REAL,REAL
1530,REAL,REAL
1532,REAL,REAL
1550,REAL,REAL
156,REAL,REAL
1580,REAL,REAL
1586,REAL,REAL
1592,REAL,REAL
1593,REAL,REAL
1598,REAL,REAL
1603,REAL,REAL
1669,REAL,REAL
1677,REAL,REAL
1679,REAL,REAL
1695,REAL,REAL
1699,REAL,REAL
1721,REAL,REAL
1723,REAL,REAL
1726,REAL,REAL
1748,REAL,REAL
1753,REAL,REAL
1755,REAL,REAL
1757,REAL,REAL
1780,REAL,REAL
1786,REAL,REAL
1788,REAL,REAL
1800,REAL,REAL
1801,REAL,REAL
1819,REAL,REAL
1829,REAL,REAL
1837,REAL,REAL
184,REAL,REAL
1842,REAL,REAL
1844,REAL,REAL
1855,REAL,REAL
1862,REAL,REAL
187,REAL,REAL
1878,REAL,REAL
188,REAL,REAL
1912,REAL,REAL
1925,REAL,REAL
1926,REAL,REAL
1938,REAL,REAL
195,REAL,REAL
1959,REAL,REAL
1964,REAL,REAL
198,REAL,REAL
1988,REAL,REAL
2000,REAL,REAL
2023,REAL,REAL
2025,REAL,REAL
2037,REAL,REAL
2044,REAL,REAL
2050,REAL,REAL
2052,REAL,REAL
2054,REAL,REAL
2058,REAL,REAL
2066,REAL,REAL
2068,REAL,REAL
2078,REAL,REAL
2079,REAL,REAL
208,REAL,REAL
2106,REAL,REAL
2110,REAL,REAL
2132,REAL,REAL
214,REAL,REAL
2142,REAL,REAL
2144,REAL,REAL
2148,REAL,REAL
2155,REAL,REAL
2162,REAL,REAL
2168,REAL,REAL
2169,REAL,REAL
2186,REAL,REAL
219,REAL,REAL
2195,REAL,REAL
2197,REAL,REAL
2200,REAL,REAL
2208,REAL,REAL
2230,REAL,REAL
2273,REAL,REAL
2284,REAL,REAL
2309,REAL,REAL
2326,REAL,REAL
2339,REAL,REAL
234,REAL,REAL
2350,REAL,REAL
2354,REAL,REAL
2415,REAL,REAL
2450,REAL,REAL
2458,REAL,REAL
246,REAL,REAL
2467,REAL,REAL
2488,REAL,REAL
2491,REAL,REAL
2497,REAL,REAL
2500,REAL,REAL
2511,REAL,REAL
2518,REAL,REAL
2519,REAL,REAL
2536,REAL,REAL
2540,REAL,REAL
2541,REAL,REAL
2543,REAL,REAL
2553,REAL,REAL
2554,REAL,REAL
256,REAL,REAL
2561,REAL,REAL
2563,REAL,REAL
2566,REAL,REAL
2567,REAL,REAL
2573,REAL,REAL
2575,REAL,REAL
2591,REAL,REAL
2601,REAL,REAL
2604,REAL,REAL
2625,REAL,REAL
2645,REAL,REAL
2654,REAL,REAL
2659,REAL,REAL
2660,REAL,REAL
2668,REAL,REAL
2672,REAL,REAL
2678,REAL,REAL
2681,REAL,REAL
2697,REAL,REAL
2724,REAL,REAL
2739,REAL,REAL
2758,REAL,REAL
2787,REAL,REAL
2788,REAL,REAL
2801,REAL,REAL
2808,REAL,REAL
282,REAL,REAL
2833,REAL,REAL
2855,REAL,REAL
2861,REAL,REAL
2869,REAL,REAL
288,REAL,REAL
2883,REAL,REAL
2886,REAL,REAL
2893,REAL,REAL
2896,REAL,REAL
2897,REAL,REAL
2902,REAL,REAL
2904,REAL,REAL
2907,REAL,REAL
2913,REAL,REAL
2916,REAL,REAL
294,REAL,REAL
2941,REAL,REAL
2943,REAL,REAL
2947,REAL,REAL
2968,REAL,REAL
2973,REAL,REAL
2974,REAL,REAL
2988,REAL,REAL
2995,REAL,REAL
2998,REAL,REAL
3013,REAL,REAL
3015,REAL,REAL
3023,REAL,REAL
3027,REAL,REAL
3030,REAL,REAL
3038,REAL,REAL
3058,REAL,REAL
3067,REAL,REAL
3068,REAL,REAL
3076,REAL,REAL
3078,REAL,REAL
3079,REAL,REAL
3082,REAL,REAL
3083,REAL,REAL
309,REAL,REAL
3090,REAL,REAL
3095,REAL,REAL
3100,REAL,REAL
3114,REAL,REAL
3123,REAL,REAL
3126,REAL,REAL
3128,REAL,REAL
3137,REAL,REAL
3140,REAL,REAL
3142,REAL,REAL
3150,REAL,REAL
3156,REAL,REAL
3161,REAL,REAL
3170,REAL,REAL
3183,REAL,REAL
320,REAL,REAL
321,REAL,REAL
3210,REAL,REAL
3222,REAL,REAL
3240,REAL,REAL
3248,REAL,REAL
3254,REAL,REAL
3260,REAL,REAL
3261,REAL,REAL
3263,REAL,REAL
3270,REAL,REAL
3271,REAL,REAL
3294,REAL,REAL
3297,REAL,REAL
3300,REAL,REAL
3305,REAL,REAL
3324,REAL,REAL
3351,REAL,REAL
3353,REAL,REAL
3364,REAL,REAL
3369,REAL,REAL
3370,REAL,REAL
3371,REAL,REAL
3374,REAL,REAL
3390,REAL,REAL
341,REAL,REAL
3412,REAL,REAL
3417,REAL,REAL
3426,REAL,REAL
3439,REAL,REAL
3448,REAL,REAL
3452,REAL,REAL
3455,REAL,REAL
3456,REAL,REAL
3460,REAL,REAL
3464,REAL,REAL
349,REAL,REAL
3490,REAL,REAL
3498,REAL,REAL
3502,REAL,REAL
3504,REAL,REAL
351,REAL,REAL
3520,REAL,REAL
3521,REAL,REAL
3523,REAL,REAL
353,REAL,REAL
3530,REAL,REAL
3534,REAL,REAL
3549,REAL,REAL
355,REAL,REAL
3555,REAL,REAL
3557,REAL,REAL
3566,REAL,REAL
3568,REAL,REAL
3573,REAL,REAL
3584,REAL,REAL
3594,REAL,REAL
3605,REAL,REAL
3607,REAL,REAL
3610,REAL,REAL
3616,REAL,REAL
3617,REAL,REAL
3618,REAL,REAL
3622,REAL,REAL
3630,REAL,REAL
3641,REAL,REAL
365,REAL,REAL
3655,REAL,REAL
3666,REAL,REAL
3672,REAL,REAL
3674,REAL,REAL
3681,REAL,REAL
3696,REAL,REAL
3701,REAL,REAL
3703,REAL,REAL
3707,REAL,REAL
3718,REAL,REAL
3742,REAL,REAL
3747,REAL,REAL
375,REAL,REAL
3757,REAL,REAL
3763,REAL,REAL
3777,REAL,REAL
3791,REAL,REAL
3821,REAL,REAL
3826,REAL,REAL
383,REAL,REAL
3839,REAL,REAL
3848,REAL,REAL
3850,REAL,REAL
3851,REAL,REAL
3871,REAL,REAL
3872,REAL,REAL
3894,REAL,REAL
3902,REAL,REAL
3926,REAL,REAL
3934,REAL,REAL
394,REAL,REAL
3942,REAL,REAL
395,REAL,REAL
3958,REAL,REAL
3983,REAL,REAL
3996,REAL,REAL
4013,REAL,REAL
4030,REAL,REAL
4052,REAL,REAL
407,REAL,REAL
4076,REAL,REAL
4095,REAL,REAL
4100,REAL,REAL
4106,REAL,REAL
4136,REAL,REAL
4137,REAL,REAL
4140,REAL,REAL
4146,REAL,REAL
4156,REAL,REAL
4162,REAL,REAL
4176,REAL,REAL
4178,REAL,REAL
419,REAL,REAL
4214,REAL,REAL
4262,REAL,REAL
4270,REAL,REAL
4271,REAL,REAL
428,REAL,REAL
4280,REAL,REAL
4283,REAL,REAL
4286,REAL,REAL
4288,REAL,REAL
4291,REAL,REAL
4300,REAL,REAL
4313,REAL,REAL
4316,REAL,REAL
4323,REAL,REAL
433,REAL,REAL
4331,REAL,REAL
4332,REAL,REAL
4348,REAL,REAL
435,REAL,REAL
4358,REAL,REAL
4366,REAL,REAL
4372,REAL,REAL
4375,REAL,REAL
4426,REAL,REAL
4430,REAL,REAL
4462,REAL,REAL
4469,REAL,REAL
4470,REAL,REAL
4499,REAL,REAL
4514,REAL,REAL
4522,REAL,REAL
4536,REAL,REAL
4544,REAL,REAL
4556,REAL,REAL
4559,REAL,REAL
4561,REAL,REAL
4580,REAL,REAL
4582,REAL,REAL
4590,REAL,REAL
46,REAL,REAL
4604,REAL,REAL
4620,REAL,REAL
4638,REAL,REAL
4651,REAL,REAL
4654,REAL,REAL
4660,REAL,REAL
4676,REAL,REAL
468,REAL,REAL
4686,REAL,REAL
4691,REAL,REAL
4693,REAL,REAL
4700,REAL,REAL
4701,REAL,REAL
4722,REAL,REAL
4728,REAL,REAL
4741,REAL,REAL
4752,REAL,REAL
4755,REAL,REAL
4767,REAL,REAL
4770,REAL,REAL
4784,REAL,REAL
4786,REAL,REAL
4798,REAL,REAL
4817,REAL,REAL
4821,REAL,REAL
4837,REAL,REAL
484,REAL,REAL
4840,REAL,REAL
4843,REAL,REAL
